3,21.845,134.375,133.114,132.623,133.276,136.227,138.313,134.155,133.274,137.141,135.072,132.304,137.867,132.482,133.848,133.969,131.980,136.418,135.981,133.181,138.919,133.539,132.730,131.580,136.569,133.539,130.966,131.400,135.033,138.484,137.255,131.249,138.826,130.730,138.513,133.462,133.127,131.734,134.114,137.373,135.651,131.140,131.833,136.196,134.982,134.614,133.347,138.366,129.544,132.833,134.783,134.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23.443,155.049,154.671,153.476,153.883,157.125,160.182,155.545,152.431,158.242,157.095,151.424,159.436,152.213,155.035,153.452,152.647,156.633,156.562,154.014,161.141,153.761,153.452,151.576,156.878,154.147,150.478,151.561,155.565,160.523,159.193,150.665,160.857,149.837,160.720,154.304,154.195,151.025,153.456,158.529,157.112,151.433,151.888,157.353,155.655,154.010,154.434,160.440,148.357,153.701,154.564,155.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24.511,182.368,183.430,181.120,181.155,184.691,189.229,183.994,177.487,186.144,186.460,176.464,188.027,178.148,183.199,178.951,180.049,183.143,183.683,181.586,190.676,180.422,180.874,177.993,183.533,181.380,176.163,178.231,182.635,189.760,188.321,176.169,190.076,174.883,190.264,181.961,182.172,176.336,178.753,186.518,185.569,178.316,178.317,185.345,182.913,179.381,182.494,189.756,172.982,181.356,180.488,182.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24.980,216.963,220.173,216.231,215.734,219.550,226.183,220.228,208.930,221.491,223.953,207.923,224.333,210.840,219.057,210.968,214.866,216.476,217.918,216.559,228.248,214.122,215.644,211.444,217.061,215.865,208.584,212.046,216.850,226.893,225.343,208.307,227.184,206.372,227.875,217.120,217.780,208.179,210.495,221.985,221.705,212.451,211.709,220.837,217.364,211.200,218.263,227.025,203.904,216.490,213.063,217.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24.823,258.275,264.356,258.251,257.057,261.134,270.457,263.677,246.240,263.698,269.001,245.277,267.778,249.750,262.051,248.959,256.566,256.049,258.656,258.384,273.208,254.322,257.205,251.401,256.855,257.043,247.221,252.494,257.665,271.278,269.626,246.574,271.557,243.773,272.907,259.242,260.501,246.012,248.140,264.338,264.923,253.327,251.524,263.266,258.437,248.893,261.214,271.617,240.607,258.588,251.714,258.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24.048,304.131,313.585,304.943,302.924,307.275,319.669,311.981,287.560,310.521,319.142,286.652,316.044,292.884,309.871,291.010,302.955,299.810,303.710,304.855,323.046,298.948,303.352,295.789,300.818,302.743,290.103,297.483,302.972,320.454,318.712,289.050,320.769,285.184,322.837,306.102,308.103,287.901,289.794,311.307,312.877,298.825,295.699,310.400,303.982,290.514,309.065,321.066,281.244,305.470,294.443,305.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22.705,351.015,363.903,352.660,349.776,354.466,369.929,361.290,329.925,358.338,370.325,329.052,365.366,337.040,358.735,334.068,350.438,344.510,349.613,352.386,373.726,344.641,350.512,341.237,345.639,349.454,334.040,343.591,349.359,370.476,368.653,332.630,370.907,327.571,373.599,354.050,356.893,330.755,332.444,359.240,361.776,345.460,340.904,358.605,350.533,333.008,358.051,371.398,322.875,353.542,338.090,352.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20.878,395.137,411.045,397.480,393.793,398.929,417.061,407.476,370.110,403.266,418.208,369.225,411.692,378.754,404.575,374.831,395.120,386.662,392.680,397.105,420.985,387.764,394.841,384.093,387.795,393.398,375.571,387.096,393.133,417.176,415.270,373.926,417.812,367.657,420.907,399.143,402.851,371.242,372.832,404.227,407.577,389.441,383.542,403.965,394.364,373.106,404.087,418.406,362.308,398.883,379.265,396.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18.681,433.698,451.919,436.528,432.171,437.857,458.027,447.549,405.646,442.452,459.667,404.691,452.051,415.421,444.423,410.793,434.126,423.670,430.225,436.156,461.801,425.593,433.514,421.631,424.691,431.786,412.084,425.213,431.531,457.584,455.589,410.358,458.493,402.965,461.727,438.470,442.994,406.855,408.481,443.415,447.355,427.937,420.927,443.586,432.716,408.360,444.172,459.085,397.118,438.571,415.437,435.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16.253,465.510,485.304,468.620,463.745,470.041,491.601,480.326,435.374,474.709,493.490,434.302,485.221,445.880,477.078,440.805,466.243,454.392,461.141,468.335,495.041,456.933,465.354,452.666,455.219,463.443,442.410,456.727,463.340,490.565,488.479,440.733,491.777,432.369,494.932,470.816,476.055,436.467,438.250,475.627,479.946,459.722,451.889,476.245,464.409,437.681,477.065,492.282,426.184,471.342,445.487,467.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
